127.0.0.1 - - [28/Jun/2019:19:13:31 +0530] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:13:38 +0530] "GET /convey/login.jsp HTTP/1.1" 200 798
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:13:38 +0530] "GET /convey/css/login.css HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:13:47 +0530] "GET /convey/loginservlet1?username=akagra&password=akagra HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:13:47 +0530] "GET /convey/main.jsp HTTP/1.1" 200 4480
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:13:47 +0530] "GET /convey/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:13:51 +0530] "GET /convey/offerservlet HTTP/1.1" 200 10056
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:13:51 +0530] "GET /convey/css/offer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:13:51 +0530] "GET /convey/... HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:13:54 +0530] "GET /convey/yourdelivery HTTP/1.1" 200 7841
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:13:54 +0530] "GET /convey/... HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:13:54 +0530] "GET /convey/css/yourdelivery.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:13:54 +0530] "GET /convey/css/yourdelivery.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:13:54 +0530] "GET /convey/... HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:16:40 +0530] "GET /convey/offerservlet HTTP/1.1" 200 10056
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:16:40 +0530] "GET /convey/... HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:16:40 +0530] "GET /convey/... HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:16:43 +0530] "GET /convey/deliverproductservlet?pid=39 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:16:44 +0530] "GET /convey/offerservlet HTTP/1.1" 200 9195
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:16:44 +0530] "GET /convey/... HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:16:44 +0530] "GET /convey/... HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:16:47 +0530] "GET /convey/yourdelivery HTTP/1.1" 200 7844
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:16:47 +0530] "GET /convey/css/yourdelivery.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:16:47 +0530] "GET /convey/... HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:16:47 +0530] "GET /convey/css/yourdelivery.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:16:47 +0530] "GET /convey/... HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:17:19 +0530] "GET /convey/offerservlet HTTP/1.1" 200 9195
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:17:19 +0530] "GET /convey/... HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:17:19 +0530] "GET /convey/... HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:17:22 +0530] "GET /convey/deliverproductservlet?pid=29 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:17:22 +0530] "GET /convey/offerservlet HTTP/1.1" 200 8346
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:17:22 +0530] "GET /convey/... HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:17:22 +0530] "GET /convey/... HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:17:26 +0530] "GET /convey/yourdelivery HTTP/1.1" 200 7844
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:17:26 +0530] "GET /convey/css/yourdelivery.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:17:26 +0530] "GET /convey/... HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:17:26 +0530] "GET /convey/css/yourdelivery.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:17:26 +0530] "GET /convey/... HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:17:30 +0530] "GET /convey/yourdelivery HTTP/1.1" 200 7844
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:17:30 +0530] "GET /convey/css/yourdelivery.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:17:30 +0530] "GET /convey/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:17:30 +0530] "GET /convey/... HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:17:30 +0530] "GET /convey/css/yourdelivery.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:17:30 +0530] "GET /convey/... HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:18:10 +0530] "GET /convey/yourdelivery HTTP/1.1" 200 8668
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:18:10 +0530] "GET /convey/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:18:10 +0530] "GET /convey/css/yourdelivery.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:18:10 +0530] "GET /convey/... HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:18:10 +0530] "GET /convey/css/yourdelivery.css HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:18:10 +0530] "GET /convey/... HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:19:24 +0530] "GET /convey/offerservlet HTTP/1.1" 200 8346
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:19:24 +0530] "GET /convey/... HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [28/Jun/2019:19:19:24 +0530] "GET /convey/... HTTP/1.1" 404 1046
